tiempo;estimulo_objetivo;x;y;matriz_estado
99,7759;Pinguino;1004;728;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,7963;Pinguino;988;737;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,8173;Pinguino;976;741;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,8384;Pinguino;975;742;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,8586;Pinguino;976;745;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,8806;Pinguino;972;744;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,9004;Pinguino;969;744;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,9211;Pinguino;967;743;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,9420;Pinguino;965;743;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,9630;Pinguino;966;742;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,9838;Pinguino;969;738;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,0046;Pinguino;975;731;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,0253;Pinguino;975;731;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,0463;Pinguino;975;731;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,0670;Pinguino;975;731;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,0880;Pinguino;975;731;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,1094;Pinguino;734;481;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,1302;Pinguino;1046;430;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,1511;Pinguino;1038;447;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
100,1713;Pinguino;1020;501;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
