col_0;col_1;col_2;col_3;col_4;col_5;col_6;col_7;col_8;col_9;col_10
3,8947;883;523;0;0;0;0;0;0;0;0
3,9157;887;524;0;0;0;0;0;0;0;0
3,9364;890;526;0;0;0;0;0;0;0;0
3,9573;890;525;0;0;0;0;0;0;0;0
3,9781;890;524;0;0;0;0;0;0;0;0
3,9989;891;524;0;0;0;0;0;0;0;0
4,0197;892;525;0;0;0;0;0;0;0;0
4,0414;893;523;0;0;0;0;0;0;0;0
4,0615;893;522;0;0;0;0;0;0;0;0
4,0828;892;522;0;0;0;0;0;0;0;0
4,1036;892;521;0;0;0;0;0;0;0;0
4,1237;892;520;0;0;0;0;0;0;0;0
4,1446;892;520;0;0;0;0;0;0;0;0
4,1656;891;518;0;0;0;0;0;0;0;0
4,1864;887;519;0;0;0;0;0;0;0;0
4,2073;849;537;0;0;0;0;0;0;0;0
4,2281;722;605;0;0;0;0;0;0;0;0
4,2487;619;658;0;0;0;0;0;0;0;0
4,2696;547;699;0;0;0;0;0;0;0;0
4,2903;515;721;0;0;0;0;0;0;0;0
4,3112;507;727;0;0;0;0;0;0;0;0
4,3321;501;735;0;0;0;0;0;0;0;0
4,3528;496;737;0;0;0;0;0;0;0;0
4,3737;494;739;0;0;0;0;0;0;0;0
4,3944;490;742;0;0;0;0;0;0;0;0
4,4155;487;743;0;0;0;0;0;0;0;0
4,4363;500;737;0;0;0;0;0;0;0;0
4,4570;543;714;0;0;0;0;0;0;0;0
4,4780;570;699;0;0;0;0;0;0;0;0
4,4989;634;661;0;0;0;0;0;0;0;0
4,5205;692;628;0;0;0;0;0;0;0;0
4,5405;719;609;0;0;0;0;0;0;0;0
4,5612;736;602;0;0;0;0;0;0;0;0
4,5819;745;598;0;0;0;0;0;0;0;0
4,6030;750;595;0;0;0;0;0;0;0;0
4,6245;755;596;0;0;0;0;0;0;0;0
4,6447;758;595;0;0;0;0;0;0;0;0
4,6656;759;594;0;0;0;0;0;0;0;0
4,6861;758;589;0;0;0;0;0;0;0;0
4,7081;756;584;0;0;0;0;0;0;0;0
4,7280;756;586;0;0;0;0;0;0;0;0
4,7488;757;587;0;0;0;0;0;0;0;0
4,7697;758;587;0;0;0;0;0;0;0;0
4,7909;756;585;0;0;0;0;0;0;0;0
4,8119;755;586;0;0;0;0;0;0;0;0
4,8321;755;587;0;0;0;0;0;0;0;0
4,8536;755;589;0;0;0;0;0;0;0;0
4,8738;750;593;0;0;0;0;0;0;0;0
4,8946;644;679;0;0;0;0;0;0;0;0
4,9155;459;806;0;0;0;0;0;0;0;0
4,9363;312;874;0;0;0;0;0;0;0;0
4,9569;233;929;0;0;0;0;0;0;0;0
4,9780;193;955;0;0;0;0;0;0;0;0
4,9989;178;960;0;0;0;0;0;0;0;0
5,0195;175;960;0;0;0;0;0;0;0;0
5,0404;174;958;0;0;0;0;0;0;0;0
5,0619;174;956;0;0;0;0;0;0;0;0
5,0824;173;956;0;0;0;0;0;0;0;0
5,1029;173;956;0;0;0;0;0;0;0;0
5,1237;171;956;0;0;0;0;0;0;0;0
5,1446;168;954;0;0;0;0;0;0;0;0
5,1654;170;953;0;0;0;0;0;0;0;0
5,1860;171;953;0;0;0;0;0;0;0;0
5,2078;172;954;0;0;0;0;0;0;0;0
